"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","SMR.GGXWDG_NGDP.A","OBS_VALUE","San Marino, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","21.01","19.307","21.385","56.585","56.672","56.214","69.789","77.189","71.339","69.881","65.195"
"IMF.RES:WEO(6.0.0)","SRB.GGXWDG_NGDP.A","OBS_VALUE","Serbia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","63.474","67.078","64.978","55.257","51.137","49.454","54.325","53.637","50.907","45.667","44.479"
"IMF.RES:WEO(6.0.0)","SEN.LUR.A","OBS_VALUE","Senegal","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SYC.GGXWDG_NGDP.A","OBS_VALUE","Seychelles","Gross debt, General government, Percent of GDP","Annual","Units","70.392","64.673","62.844","56.653","51.258","48.854","77.371","71.248","60.008","55.293","57.804"
"IMF.RES:WEO(6.0.0)","SVK.NGDP_RPCH.A","OBS_VALUE","Slovak Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.708","5.177","1.948","2.875","4.062","2.276","-2.586","5.727","0.45","1.378","2.026"
"IMF.RES:WEO(6.0.0)","SYC.GGXWDN_NGDP.A","OBS_VALUE","Seychelles","Net debt, General government, Percent of GDP","Annual","Units","53.583","47.335","46.324","43.475","39.454","38.773","69.918","60.999","53.139","49.686","48.101"
"IMF.RES:WEO(6.0.0)","SVN.LP.A","OBS_VALUE","Slovenia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","2.061","2.063","2.064","2.066","2.067","2.081","2.096","2.109","2.107","2.117","2.124"
"IMF.RES:WEO(6.0.0)","SLB.LUR.A","OBS_VALUE","Solomon Islands","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","LCA.GGXWDG_NGDP.A","OBS_VALUE","St. Lucia","Gross debt, General government, Percent of GDP","Annual","Units","61.854","60.551","60.214","59.919","60.282","62.114","94.982","81.868","73.432","74.846","73.97"
"IMF.RES:WEO(6.0.0)","LCA.GGXWDN_NGDP.A","OBS_VALUE","St. Lucia","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G110.D_NGDPD.A","OBS_VALUE","Advanced Economies","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","VCT.GGXWDN_NGDP.A","OBS_VALUE","St. Vincent and the Grenadines","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","LCA.LUR.A","OBS_VALUE","St. Lucia","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SUR.GGXWDN_NGDP.A","OBS_VALUE","Suriname","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SUR.LUR.A","OBS_VALUE","Suriname","Unemployment rate","Annual","Units","5.5","7.0","10.0","7.0","9.0","8.797","11.147","11.2","10.9","10.6","10.3"
"IMF.RES:WEO(6.0.0)","TJK.NGDP_RPCH.A","OBS_VALUE","Tajikistan, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","6.7","6.0","6.9","7.1","7.6","7.4","4.39","9.4","8.0","8.25","8.357"
"IMF.RES:WEO(6.0.0)","TJK.LUR.A","OBS_VALUE","Tajikistan, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SYR.LUR.A","OBS_VALUE","Syrian Arab Republic","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G163.NGDP_RPCH.A","OBS_VALUE","Euro Area (EA)","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.438","2.109","1.822","2.596","1.768","1.627","-6.016","6.33","3.533","0.401","0.855"
"IMF.RES:WEO(6.0.0)","TLS.GGXWDN_NGDP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TON.GGXWDN_NGDP.A","OBS_VALUE","Tonga","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TON.GGXWDG_NGDP.A","OBS_VALUE","Tonga","Gross debt, General government, Percent of GDP","Annual","Units","47.356","51.115","49.382","44.718","45.824","42.797","42.552","43.044","43.802","43.948","38.248"
"IMF.RES:WEO(6.0.0)","TON.LUR.A","OBS_VALUE","Tonga","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TGO.GGXWDN_NGDP.A","OBS_VALUE","Togo","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TTO.GGXWDG_NGDP.A","OBS_VALUE","Trinidad and Tobago","Gross debt, General government, Percent of GDP","Annual","Units","23.63","26.397","34.699","40.071","41.471","45.849","60.302","60.536","52.991","59.321","64.502"
"IMF.RES:WEO(6.0.0)","TKM.NGDP_RPCH.A","OBS_VALUE","Turkmenistan","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.605","2.159","-0.466","2.141","1.74","-3.666","-2.116","-0.338","5.315","1.974","2.264"
"IMF.RES:WEO(6.0.0)","UGA.GGXWDN_NGDP.A","OBS_VALUE","Uganda","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ARE.LUR.A","OBS_VALUE","United Arab Emirates","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G119.GGXWDG_NGDP.A","OBS_VALUE","G7","Gross debt, General government, Percent of GDP","Annual","Units","117.274","116.291","119.297","117.127","116.98","117.927","139.412","132.262","124.534","122.71","123.177"
"IMF.RES:WEO(6.0.0)","URY.LUR.A","OBS_VALUE","Uruguay","Unemployment rate","Annual","Units","6.625","7.525","7.867","7.925","8.367","8.925","10.35","9.375","7.867","8.325","8.183"
"IMF.RES:WEO(6.0.0)","VNM.GGXWDG_NGDP.A","OBS_VALUE","Vietnam","Gross debt, General government, Percent of GDP","Annual","Units","43.642","46.117","47.88","46.621","43.798","40.993","41.319","39.237","34.923","34.417","32.86"
"IMF.RES:WEO(6.0.0)","VUT.GGXWDN_NGDP.A","OBS_VALUE","Vanuatu","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ZWE.LUR.A","OBS_VALUE","Zimbabwe","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","WBG.NGDP_RPCH.A","OBS_VALUE","West Bank and Gaza","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-0.158","3.721","8.865","1.419","1.227","1.363","-11.318","7.012","4.083","-4.556",""
"IMF.RES:WEO(6.0.0)","ETH.LUR.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MUS.LUR.A","OBS_VALUE","Mauritius","Unemployment rate","Annual","Units","7.8","7.9","7.3","7.1","6.9","6.7","9.2","9.1","6.803","6.106","5.8"
"IMF.RES:WEO(6.0.0)","MNE.NGDP_RPCH.A","OBS_VALUE","Montenegro","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.784","3.39","2.949","4.716","5.078","4.063","-15.307","13.043","6.407","6.338","3.04"
"IMF.RES:WEO(6.0.0)","G001.D_NGDPD.A","OBS_VALUE","World","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G001.D.A","OBS_VALUE","World","External debt, US dollar","Annual","Billions","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MRT.LUR.A","OBS_VALUE","Mauritania, Islamic Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SWE.GGXWDG_NGDP.A","OBS_VALUE","Sweden","Gross debt, General government, Percent of GDP","Annual","Units","45.686","44.456","42.786","41.558","39.81","35.694","40.139","36.685","33.629","31.461","32.642"
"IMF.RES:WEO(6.0.0)","MKD.GGXWDG_NGDP.A","OBS_VALUE","North Macedonia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","38.036","37.998","39.721","39.383","40.425","40.448","50.846","52.75","50.449","50.827","54.834"
"IMF.RES:WEO(6.0.0)","MWI.LUR.A","OBS_VALUE","Malawi","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SVN.GGXWDG_NGDP.A","OBS_VALUE","Slovenia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","81.133","83.418","79.43","74.89","71.007","66.02","80.17","74.832","72.739","68.394","67.039"
"IMF.RES:WEO(6.0.0)","VCT.LUR.A","OBS_VALUE","St. Vincent and the Grenadines","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SLE.GGXWDN_NGDP.A","OBS_VALUE","Sierra Leone","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SGP.GGXWDN_NGDP.A","OBS_VALUE","Singapore","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SEN.GGXWDG_NGDP.A","OBS_VALUE","Senegal","Gross debt, General government, Percent of GDP","Annual","Units","42.366","44.509","47.524","61.139","61.523","72.088","81.628","89.387","94.629","107.356","113.673"
"IMF.RES:WEO(6.0.0)","LKA.GGXWDN_NGDP.A","OBS_VALUE","Sri Lanka","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MLT.NGDP_RPCH.A","OBS_VALUE","Malta","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.632","9.62","4.078","12.971","7.189","4.086","-3.359","13.301","4.269","6.797","5.968"
"IMF.RES:WEO(6.0.0)","MHL.NGDP_RPCH.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-1.285","1.89","2.523","3.563","5.484","10.469","-2.777","1.197","-1.096","-3.926","2.75"
"IMF.RES:WEO(6.0.0)","MRT.NGDP_RPCH.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.275","5.376","1.261","6.271","4.773","3.146","-0.429","0.737","6.796","6.507","4.566"
"IMF.RES:WEO(6.0.0)","G163.D_NGDPD.A","OBS_VALUE","Euro Area (EA)","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ZMB.GGXWDN_NGDP.A","OBS_VALUE","Zambia","Net debt, General government, Percent of GDP","Annual","Units","29.642","58.029","57.896","63.747","78.606","100.989","137.885","109.455","98.051","122.541","109.67"
"IMF.RES:WEO(6.0.0)","G119.GGXWDN_NGDP.A","OBS_VALUE","G7","Net debt, General government, Percent of GDP","Annual","Units","85.647","85.194","86.971","84.364","84.536","85.069","98.205","95.788","91.233","91.298","92.89"
"IMF.RES:WEO(6.0.0)","FSM.NGDP_RPCH.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-2.587","4.509","0.985","2.256","0.494","3.363","-1.976","3.1","-2.906","0.482","0.719"
"IMF.RES:WEO(6.0.0)","G163.LUR.A","OBS_VALUE","Euro Area (EA)","Unemployment rate","Annual","Units","11.725","10.967","10.108","9.125","8.217","7.592","7.967","7.767","6.742","6.558","6.358"
"IMF.RES:WEO(6.0.0)","G163.GGXWDG_NGDP.A","OBS_VALUE","Euro Area (EA)","Gross debt, General government, Percent of GDP","Annual","Units","92.922","91.012","89.916","87.486","85.559","83.592","96.499","93.851","89.514","87.36","87.728"
"IMF.RES:WEO(6.0.0)","WSM.GGXWDG_NGDP.A","OBS_VALUE","Samoa","Gross debt, General government, Percent of GDP","Annual","Units","54.874","56.366","48.994","46.684","49.405","44.291","43.186","46.297","43.75","35.426","27.705"
"IMF.RES:WEO(6.0.0)","AGO.GGXWDG_NGDP.A","OBS_VALUE","Angola","Gross debt, General government, Percent of GDP","Annual","Units","35.274","50.386","66.67","60.492","82.541","101.373","119.145","74.292","56.108","71.385","62.501"
"IMF.RES:WEO(6.0.0)","DZA.GGXWDN_NGDP.A","OBS_VALUE","Algeria","Net debt, General government, Percent of GDP","Annual","Units","-19.509","-6.755","11.786","19.024","23.126","27.1","38.738","45.41","35.602","32.697","43.635"
"IMF.RES:WEO(6.0.0)","AFG.NGDPDPC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","630.136","594.213","520.267","529.773","499.799","499.762","516.664","356.063","352.456","409.006",""
"IMF.RES:WEO(6.0.0)","AFG.GGXWDN_NGDP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","DZA.LUR.A","OBS_VALUE","Algeria","Unemployment rate","Annual","Units","10.6","11.214","10.498","11.709","11.731","11.383","","","","",""
"IMF.RES:WEO(6.0.0)","AFG.NGDP_RPCH.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.697","0.988","2.164","2.647","1.189","3.912","-2.351","-14.542","-6.24","2.267",""
"IMF.RES:WEO(6.0.0)","ALB.GGXWDG_NGDP.A","OBS_VALUE","Albania","Gross debt, General government, Percent of GDP","Annual","Units","71.146","72.849","72.462","71.049","68.655","66.575","75.381","74.795","65.198","58.365","55.653"
"IMF.RES:WEO(6.0.0)","AFG.GGXWDG_NGDP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","8.7","9.154","8.437","7.998","7.384","6.136","7.331","11.136","10.643","8.255",""
"IMF.RES:WEO(6.0.0)","ZMB.LUR.A","OBS_VALUE","Zambia","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","WBG.GGXWDN_NGDP.A","OBS_VALUE","West Bank and Gaza","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ALB.GGXWDN_NGDP.A","OBS_VALUE","Albania","Net debt, General government, Percent of GDP","Annual","Units","64.766","67.993","69.025","64.735","60.685","59.723","69.356","65.933","58.777","50.879","48.211"
"IMF.RES:WEO(6.0.0)","AFG.LUR.A","OBS_VALUE","Afghanistan, Islamic Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","AFG.LP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","32.716","33.753","34.636","35.643","36.687","37.769","38.972","40.099","41.142","42.171",""
"IMF.RES:WEO(6.0.0)","AND.LP.A","OBS_VALUE","Andorra, Principality of","Population, Persons for countries / Index for country groups","Annual","Millions","0.071","0.072","0.073","0.075","0.076","0.078","0.078","0.08","0.082","0.085","0.087"
"IMF.RES:WEO(6.0.0)","ARG.GGXWDN_NGDP.A","OBS_VALUE","Argentina","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ATG.LUR.A","OBS_VALUE","Antigua and Barbuda","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","AND.LUR.A","OBS_VALUE","Andorra, Principality of","Unemployment rate","Annual","Units","5.3","3.875","3.3","2.35","1.775","2.075","2.925","3.275","2.1","1.55","1.425"
"IMF.RES:WEO(6.0.0)","AGO.LUR.A","OBS_VALUE","Angola","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","AND.NGDP_RPCH.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.504","1.434","3.71","0.346","1.589","2.016","-11.184","8.287","9.565","2.584","3.373"
"IMF.RES:WEO(6.0.0)","GNQ.LUR.A","OBS_VALUE","Equatorial Guinea, Republic of","Unemployment rate","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G119.D.A","OBS_VALUE","G7","External debt, US dollar","Annual","Billions","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","AND.GGXWDN_NGDP.A","OBS_VALUE","Andorra, Principality of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","AND.GGXWDG_NGDP.A","OBS_VALUE","Andorra, Principality of","Gross debt, General government, Percent of GDP","Annual","Units","42.025","40.955","39.773","37.854","36.344","35.365","46.353","48.614","38.907","35.467","33.234"
"IMF.RES:WEO(6.0.0)","DZA.GGXWDG_NGDP.A","OBS_VALUE","Algeria","Gross debt, General government, Percent of GDP","Annual","Units","6.853","7.731","18.094","24.015","34.493","40.882","45.967","55.145","48.068","47.712","46.202"
"IMF.RES:WEO(6.0.0)","G119.D_NGDPD.A","OBS_VALUE","G7","External debt, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GX123.GGXWDG_NGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross debt, General government, Percent of GDP","Annual","Units","40.489","41.406","41.823","41.341","41.043","42.961","49.766","49.35","48.16","49.557","50.441"
"IMF.RES:WEO(6.0.0)","AUS.GGXWDG_NGDP.A","OBS_VALUE","Australia","Gross debt, General government, Percent of GDP","Annual","Units","34.036","37.726","40.621","41.195","41.758","46.72","57.092","55.537","50.222","48.973","49.828"
"IMF.RES:WEO(6.0.0)","ARM.LP.A","OBS_VALUE","Armenia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","2.985","2.99","2.993","2.979","2.969","2.963","2.962","2.962","2.93","2.964","2.964"
"IMF.RES:WEO(6.0.0)","ABW.LP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Population, Persons for countries / Index for country groups","Annual","Millions","0.108","0.108","0.108","0.108","0.108","0.108","0.109","0.109","0.109","0.109","0.109"
"IMF.RES:WEO(6.0.0)","ABW.LUR.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Unemployment rate","Annual","Units","7.5","7.3","7.7","8.9","7.3","5.2","8.6","8.8","4.3","4.0","3.859"
"IMF.RES:WEO(6.0.0)","ARM.NGDP_RPCH.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.607","3.254","0.195","7.518","5.225","7.631","-7.105","5.77","12.569","8.316","5.941"
"IMF.RES:WEO(6.0.0)","ARM.GGXWDG_NGDP.A","OBS_VALUE","Armenia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","43.689","48.702","56.749","58.938","55.652","53.673","67.362","63.354","49.246","50.723","50.297"
"IMF.RES:WEO(6.0.0)","ATG.GGXWDN_NGDP.A","OBS_VALUE","Antigua and Barbuda","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ABW.NGDP_RPCH.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-1.587","-0.624","1.72","7.049","2.382","-2.218","-26.212","24.133","8.518","4.264","6.49"
"IMF.RES:WEO(6.0.0)","ATG.GGXWDG_NGDP.A","OBS_VALUE","Antigua and Barbuda","Gross debt, General government, Percent of GDP","Annual","Units","91.887","92.125","83.061","88.176","84.333","81.588","100.465","92.951","82.028","76.329","67.057"
"IMF.RES:WEO(6.0.0)","ARM.LUR.A","OBS_VALUE","Armenia, Republic of","Unemployment rate","Annual","Units","17.6","18.5","18.0","17.8","19.0","18.3","18.2","15.5","13.5","12.6","13.0"
"IMF.RES:WEO(6.0.0)","ARG.GGXWDG_NGDP.A","OBS_VALUE","Argentina","Gross debt, General government, Percent of GDP","Annual","Units","44.697","52.563","53.06","57.028","85.246","89.84","103.816","81.043","84.463","155.411","85.334"
